 

stn;time;rsd700y0
APP;1901;1
APP;1902;0
APP;1903;0
APP;1904;0
APP;1905;0
APP;1906;1
APP;1907;1
APP;1908;0
APP;1909;0
APP;1910;2
APP;1911;0
APP;1912;0
APP;1913;0
APP;1914;1
APP;1915;0
APP;1916;0
APP;1917;0
APP;1918;0
APP;1919;0
APP;1920;1
APP;1921;0
APP;1922;1
APP;1923;0
APP;1924;0
APP;1925;0
APP;1926;0
APP;1927;0
APP;1928;0
APP;1929;0
APP;1930;0
APP;1931;0
APP;1932;0
APP;1933;0
APP;1934;1
APP;1935;0
APP;1936;0
APP;1937;0
APP;1938;0
APP;1939;0
APP;1940;2
APP;1941;0
APP;1942;0
APP;1943;0
APP;1944;0
APP;1945;0
APP;1946;0
APP;1947;0
APP;1948;0
APP;1949;0
APP;1950;0
APP;1951;0
APP;1952;0
APP;1953;0
APP;1954;2
APP;1955;0
APP;1956;1
APP;1957;0
APP;1958;0
APP;1959;0
APP;1960;0
APP;1961;0
APP;1962;0
APP;1963;0
APP;1964;0
APP;1965;1
APP;1966;0
APP;1967;0
APP;1968;0
APP;1969;0
APP;1970;1
APP;1971;0
APP;1972;0
APP;1973;1
APP;1974;0
APP;1975;1
APP;1976;0
APP;1977;2
APP;1978;1
APP;1979;2
APP;1980;0
APP;1981;2
APP;1982;0
APP;1983;0
APP;1984;1
APP;1985;1
APP;1986;1
APP;1987;0
APP;1988;0
APP;1989;0
APP;1990;2
APP;1991;2
APP;1992;0
APP;1993;3
APP;1994;0
APP;1995;1
APP;1996;0
APP;1997;1
APP;1998;0
APP;1999;2
APP;2000;1
APP;2001;0
APP;2002;1
APP;2003;0
APP;2004;0
APP;2005;0
APP;2006;0
APP;2007;0
APP;2008;0
APP;2009;1
APP;2010;1
APP;2011;1
APP;2012;0
APP;2013;1
APP;2014;0
APP;2015;1
APP;2016;0
APP;2017;1
APP;2018;0
APP;2019;0
APP;2020;0
