 

stn;time;rs1000y0
KOP;1961;0
KOP;1962;0
KOP;1963;0
KOP;1964;0
KOP;1965;0
KOP;1966;0
KOP;1967;0
KOP;1968;0
KOP;1969;0
KOP;1970;0
KOP;1971;0
KOP;1972;0
KOP;1973;0
KOP;1974;0
KOP;1975;0
KOP;1976;0
KOP;1977;0
KOP;1978;0
KOP;1979;0
KOP;1980;0
KOP;1981;0
KOP;1982;0
KOP;1983;0
KOP;1984;0
KOP;1985;0
KOP;1986;0
KOP;1987;0
KOP;1988;0
KOP;1989;0
KOP;1990;0
KOP;1991;0
KOP;1992;0
KOP;1993;0
KOP;1994;0
KOP;1995;0
KOP;1996;0
KOP;1997;0
KOP;1998;0
KOP;1999;0
KOP;2000;0
KOP;2001;0
KOP;2002;0
KOP;2003;0
KOP;2004;0
KOP;2005;0
KOP;2006;0
KOP;2007;0
KOP;2008;0
KOP;2009;0
KOP;2010;0
KOP;2011;0
KOP;2012;0
KOP;2013;0
KOP;2014;0
KOP;2015;0
KOP;2016;0
KOP;2017;0
KOP;2018;0
KOP;2019;0
KOP;2020;0
