 

stn;time;rsd300m0
LOH;186401;0
LOH;186402;0
LOH;186403;0
LOH;186404;0
LOH;186405;0
LOH;186406;1
LOH;186407;0
LOH;186408;0
LOH;186409;0
LOH;186410;0
LOH;186411;0
LOH;186412;0
LOH;186501;0
LOH;186502;0
LOH;186503;0
LOH;186504;0
LOH;186505;0
LOH;186506;1
LOH;186507;1
LOH;186508;1
LOH;186509;0
LOH;186510;1
LOH;186511;0
LOH;186512;0
LOH;186601;0
LOH;186602;1
LOH;186603;1
LOH;186604;0
LOH;186605;0
LOH;186606;0
LOH;186607;0
LOH;186608;0
LOH;186609;0
LOH;186610;0
LOH;186611;0
LOH;186612;0
LOH;186701;0
LOH;186702;0
LOH;186703;0
LOH;186704;1
LOH;186705;0
LOH;186706;0
LOH;186707;0
LOH;186708;0
LOH;186709;0
LOH;186710;1
LOH;186711;0
LOH;186712;0
LOH;186801;0
LOH;186802;0
LOH;186803;0
LOH;186804;0
LOH;186805;0
LOH;186806;0
LOH;186807;0
LOH;186808;0
LOH;186809;0
LOH;186810;0
LOH;186811;0
LOH;186812;1
LOH;186901;0
LOH;186902;0
LOH;186903;0
LOH;186904;0
LOH;186905;0
LOH;186906;0
LOH;186907;1
LOH;186908;1
LOH;186909;0
LOH;186910;0
LOH;186911;0
LOH;186912;0
LOH;187001;0
LOH;187002;0
LOH;187003;0
LOH;187004;0
LOH;187005;0
LOH;187006;0
LOH;187007;0
LOH;187008;0
LOH;187009;0
LOH;187010;0
LOH;187011;0
LOH;187012;0
LOH;187101;0
LOH;187102;0
LOH;187103;0
LOH;187104;0
LOH;187105;0
LOH;187106;0
LOH;187107;1
LOH;187108;0
LOH;187109;0
LOH;187110;3
LOH;187111;0
LOH;187112;0
LOH;187201;0
LOH;187202;0
LOH;187203;0
LOH;187204;0
LOH;187205;3
LOH;187206;1
LOH;187207;0
LOH;187208;1
LOH;187209;0
LOH;187210;0
LOH;187211;0
LOH;187212;0
LOH;187301;0
LOH;187302;0
LOH;187303;0
LOH;187304;0
LOH;187305;0
LOH;187306;0
LOH;187307;0
LOH;187308;0
LOH;187309;1
LOH;187310;0
LOH;187311;0
LOH;187312;0
LOH;187401;0
LOH;187402;0
LOH;187403;0
LOH;187404;0
LOH;187405;1
LOH;187406;0
LOH;187407;0
LOH;187408;0
LOH;187409;0
LOH;187410;0
LOH;187411;0
LOH;187412;1
LOH;187501;0
LOH;187502;0
LOH;187503;0
LOH;187504;0
LOH;187505;0
LOH;187506;2
LOH;187507;0
LOH;187508;0
LOH;187509;1
LOH;187510;0
LOH;187511;0
LOH;187512;0
LOH;187601;0
LOH;187602;1
LOH;187603;0
LOH;187604;1
LOH;187605;1
LOH;187606;1
LOH;187607;1
LOH;187608;0
LOH;187609;0
LOH;187610;0
LOH;187611;0
LOH;187612;0
LOH;187701;0
LOH;187702;0
LOH;187703;0
LOH;187704;1
LOH;187705;0
LOH;187706;1
LOH;187707;0
LOH;187708;1
LOH;187709;0
LOH;187710;0
LOH;187711;0
LOH;187712;0
LOH;187801;0
LOH;187802;0
LOH;187803;0
LOH;187804;0
LOH;187805;1
LOH;187806;1
LOH;187807;0
LOH;187808;0
LOH;187809;1
LOH;187810;0
LOH;187811;0
LOH;187812;0
LOH;187901;0
LOH;187902;0
LOH;187903;0
LOH;187904;0
LOH;187905;0
LOH;187906;0
LOH;187907;0
LOH;187908;1
LOH;187909;0
LOH;187910;1
LOH;187911;0
LOH;187912;0
LOH;188001;0
LOH;188002;0
LOH;188003;0
LOH;188004;1
LOH;188005;0
LOH;188006;2
LOH;188007;1
LOH;188008;1
LOH;188009;0
LOH;188010;2
LOH;188011;0
LOH;188012;0
LOH;188101;0
LOH;188102;0
LOH;188103;0
LOH;188104;0
LOH;188105;0
LOH;188106;0
LOH;188107;1
LOH;188108;1
LOH;188109;2
LOH;188110;0
LOH;188111;0
LOH;188112;0
LOH;188201;0
LOH;188202;0
LOH;188203;0
LOH;188204;0
LOH;188205;0
LOH;188206;1
LOH;188207;0
LOH;188208;0
LOH;188209;1
LOH;188210;0
LOH;188211;0
LOH;188212;0
LOH;188301;0
LOH;188302;0
LOH;188303;0
LOH;188304;0
LOH;188305;1
LOH;188306;0
LOH;188307;0
LOH;188308;0
LOH;188309;0
LOH;188310;0
LOH;188311;0
LOH;188312;0
LOH;188401;0
LOH;188402;0
LOH;188403;0
LOH;188404;0
LOH;188405;0
LOH;188406;0
LOH;188407;1
LOH;188408;0
LOH;188409;0
LOH;188410;0
LOH;188411;0
LOH;188412;0
LOH;188501;0
LOH;188502;0
LOH;188503;0
LOH;188504;0
LOH;188505;1
LOH;188506;0
LOH;188507;0
LOH;188508;0
LOH;188509;2
LOH;188510;0
LOH;188511;0
LOH;188512;0
LOH;188601;0
LOH;188602;0
LOH;188603;0
LOH;188604;0
LOH;188605;0
LOH;188606;2
LOH;188607;1
LOH;188608;1
LOH;188609;0
LOH;188610;0
LOH;188611;1
LOH;188612;1
LOH;188701;0
LOH;188702;0
LOH;188703;0
LOH;188704;0
LOH;188705;0
LOH;188706;0
LOH;188707;1
LOH;188708;0
LOH;188709;0
LOH;188710;0
LOH;188711;0
LOH;188712;0
LOH;188801;0
