Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 95467

Filename                                Filetype  Station                              Parameter                                                   Period
order_95467_ALT_rre002mx_1_data.txt     Data      Altdorf                              Precipitation; maximum 2-day total of the month             186312-187506
order_95467_ALT_rre002mx_1_legend.txt   Legend    Altdorf                              Precipitation; maximum 2-day total of the month             186312-187506
order_95467_ALT_rre002mx_2_data.txt     Data      Altdorf                              Precipitation; maximum 2-day total of the month             187512-202105
order_95467_ALT_rre002mx_2_legend.txt   Legend    Altdorf                              Precipitation; maximum 2-day total of the month             187512-202105
order_95467_TGARE_rre002mx_1_data.txt   Data      Arenenberg                           Precipitation; maximum 2-day total of the month             201008-201112
order_95467_TGARE_rre002mx_1_legend.txt Legend    Arenenberg                           Precipitation; maximum 2-day total of the month             201008-201112
order_95467_TGARE_rre002mx_2_data.txt   Data      Arenenberg                           Precipitation; maximum 2-day total of the month             201201-201211
order_95467_TGARE_rre002mx_2_legend.txt Legend    Arenenberg                           Precipitation; maximum 2-day total of the month             201201-201211
order_95467_TGARE_rre002mx_3_data.txt   Data      Arenenberg                           Precipitation; maximum 2-day total of the month             201212-201308
order_95467_TGARE_rre002mx_3_legend.txt Legend    Arenenberg                           Precipitation; maximum 2-day total of the month             201212-201308
order_95467_TGARE_rre002mx_4_data.txt   Data      Arenenberg                           Precipitation; maximum 2-day total of the month             201309-201310
order_95467_TGARE_rre002mx_4_legend.txt Legend    Arenenberg                           Precipitation; maximum 2-day total of the month             201309-201310
order_95467_TGARE_rre002mx_5_data.txt   Data      Arenenberg                           Precipitation; maximum 2-day total of the month             201401-201404
order_95467_TGARE_rre002mx_5_legend.txt Legend    Arenenberg                           Precipitation; maximum 2-day total of the month             201401-201404
order_95467_TGARE_rre002mx_6_data.txt   Data      Arenenberg                           Precipitation; maximum 2-day total of the month             201405-201504
order_95467_TGARE_rre002mx_6_legend.txt Legend    Arenenberg                           Precipitation; maximum 2-day total of the month             201405-201504
order_95467_TGARE_rre002mx_7_data.txt   Data      Arenenberg                           Precipitation; maximum 2-day total of the month             201506-201507
order_95467_TGARE_rre002mx_7_legend.txt Legend    Arenenberg                           Precipitation; maximum 2-day total of the month             201506-201507
order_95467_TGARE_rre002mx_8_data.txt   Data      Arenenberg                           Precipitation; maximum 2-day total of the month             201508-201812
order_95467_TGARE_rre002mx_8_legend.txt Legend    Arenenberg                           Precipitation; maximum 2-day total of the month             201508-201812
order_95467_TGARE_rre002mx_9_data.txt   Data      Arenenberg                           Precipitation; maximum 2-day total of the month             201901-201910
order_95467_TGARE_rre002mx_9_legend.txt Legend    Arenenberg                           Precipitation; maximum 2-day total of the month             201901-201910
order_95467_TGARE_rre002mx_10_data.txt  Data      Arenenberg                           Precipitation; maximum 2-day total of the month             201911-202005
order_95467_TGARE_rre002mx_10_legend.txt Legend    Arenenberg                           Precipitation; maximum 2-day total of the month             201911-202005
order_95467_TGARE_rre002mx_11_data.txt  Data      Arenenberg                           Precipitation; maximum 2-day total of the month             202006-202008
order_95467_TGARE_rre002mx_11_legend.txt Legend    Arenenberg                           Precipitation; maximum 2-day total of the month             202006-202008
order_95467_TGARE_rre002mx_12_data.txt  Data      Arenenberg                           Precipitation; maximum 2-day total of the month             202009-202011
order_95467_TGARE_rre002mx_12_legend.txt Legend    Arenenberg                           Precipitation; maximum 2-day total of the month             202009-202011
order_95467_TGARE_rre002mx_13_data.txt  Data      Arenenberg                           Precipitation; maximum 2-day total of the month             202012-202105
order_95467_TGARE_rre002mx_13_legend.txt Legend    Arenenberg                           Precipitation; maximum 2-day total of the month             202012-202105
order_95467_AER_rre002mx_1_data.txt     Data      Arenenberg-Ermatingen                Precipitation; maximum 2-day total of the month             197212-197712
order_95467_AER_rre002mx_1_legend.txt   Legend    Arenenberg-Ermatingen                Precipitation; maximum 2-day total of the month             197212-197712
order_95467_ASE_rre002mx_1_data.txt     Data      Areuse                               Precipitation; maximum 2-day total of the month             189912-198012
order_95467_ASE_rre002mx_1_legend.txt   Legend    Areuse                               Precipitation; maximum 2-day total of the month             189912-198012
